grid_id,modelo_id,modelo,cenario,horizonte,ano_inicio,ano_fim,tr_anos,n_historico,n_futuro,q_historico_modelo_mm,q_futuro_modelo_mm,fator_mudanca_diaria,p24_ancorada_idf_mm,metodo_historico,metodo_futuro,erro_historico,erro_futuro,peso_rea,serie_observada_anual_usada
6931,190,GFDL-ESM4,ssp245,2060_2100,2060,2100,50,65,41,45.895880,41.298822,0.899837,221.663316,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp370,2040_2059,2040,2059,25,65,20,43.674720,44.208367,1.012219,227.782204,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp370,2040_2059,2040,2059,50,65,20,45.895880,47.830004,1.042142,256.718152,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp370,2060_2100,2060,2100,25,65,41,43.674720,45.445781,1.040551,234.157938,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp370,2060_2100,2060,2100,50,65,41,45.895880,48.882007,1.065063,262.364574,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp585,2040_2059,2040,2059,25,65,20,43.674720,53.695507,1.229441,276.664388,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp585,2040_2059,2040,2059,50,65,20,45.895880,61.110423,1.331501,327.998194,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp585,2060_2100,2060,2100,25,65,41,43.674720,49.036722,1.122771,252.660147,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp585,2060_2100,2060,2100,50,65,41,45.895880,53.900875,1.174416,289.302360,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp126,2040_2059,2040,2059,25,65,20,45.110430,53.588707,1.187945,267.326345,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp126,2040_2059,2040,2059,50,65,20,47.412581,60.964344,1.285826,316.746758,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp126,2060_2100,2060,2100,25,65,41,45.110430,49.622337,1.100019,247.540176,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp126,2060_2100,2060,2100,50,65,41,47.412581,54.529211,1.150100,283.312334,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp245,2040_2059,2040,2059,25,65,20,45.110430,38.739479,0.858770,193.251228,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp245,2040_2059,2040,2059,50,65,20,47.412581,38.938465,0.821269,202.308948,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp245,2060_2100,2060,2100,25,65,41,45.110430,51.971479,1.152095,259.258833,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp245,2060_2100,2060,2100,50,65,41,47.412581,60.122898,1.268079,312.374934,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp370,2040_2059,2040,2059,25,65,20,45.110430,44.649514,0.989782,222.733334,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp370,2040_2059,2040,2059,50,65,20,47.412581,47.077625,0.992935,244.596826,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp370,2060_2100,2060,2100,25,65,41,45.110430,58.431055,1.295289,291.482319,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp370,2060_2100,2060,2100,50,65,41,47.412581,68.327800,1.441132,355.004377,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp585,2040_2059,2040,2059,25,65,20,45.110430,63.876071,1.415993,318.644687,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp585,2040_2059,2040,2059,50,65,20,47.412581,75.462303,1.591609,392.072451,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp585,2060_2100,2060,2100,25,65,41,45.110430,53.593311,1.188047,267.349316,gev_mle,gev_mle,,,,False
6931,203,GISS-E2-1-G,ssp585,2060_2100,2060,2100,50,65,41,47.412581,60.548389,1.277053,314.585618,gev_mle,gev_mle,,,,False
6931,216,HadGEM3-GC31-LL,ssp126,2040_2059,2040,2059,25,65,20,43.667654,56.642979,1.297138,291.898375,gev_mle,gev_mle,,,,False
6931,216,HadGEM3-GC31-LL,ssp126,2040_2059,2040,2059,50,65,20,46.576185,67.048995,1.439555,354.615915,gev_mle,gev_mle,,,,False
