"id_link","node_in","node_out","classe","origem","comp_m","cota_in","cota_out","decl_pct","diam_m","obs","bacia","ID_LINK_ORIG","ID_LINK_SEG","META_ID","META_ORIG","SELECAO_REC","COMP_REC_M","PERC_LINK_REC","X_IN_REC","Y_IN_REC","X_OUT_REC","Y_OUT_REC"
"L_A_0101","N_A_0121","N_A_0154","COLETOR","ColetorA8_F025",254.240798781349,37.4946784973145,31.3644580841064,2.41118673422675,0.6,"DECLIVE_MDE","A","L_A_0101","L_A_0101_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",7.0441364537076,2.77065541308506,287932.987416046,9196183.51739119,287931.565670791,9196176.61822466
"L_A_0102","N_A_0123","N_A_0155","COLETOR","ColetorA8_F026",314.099392275251,39.3800468444824,36.2932777404785,0.982736413988,0.6,"DECLIVE_MDE","A","L_A_0102","L_A_0102_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",10.5168179786103,3.34824524887883,288002.987416045,9196185.81726132,288000.972267583,9196175.49531204
"L_A_0104","N_A_0158","N_A_0159","COLETOR","ColetorA8_F027",234.982384427113,42.9881477355957,42.0407524108887,0.403177168797899,0.6,"DECLIVE_MDE","A","L_A_0104","L_A_0104_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.72769390521248,4.13975453050828,288075.552203705,9196173.96372911,288077.509795267,9196183.49241549
"L_A_0105","N_A_0159","N_A_0125","COLETOR","ColetorA8_F027",2.37340046664646,42.0407524108887,42.0407524108887,0,0.6,"DIRECAO_ORIGINAL_COTA_IGUAL","A","L_A_0105","L_A_0105_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",2.3734004665879,100,288077.509795267,9196183.49241549,288077.987416045,9196185.81726132
"L_A_0107","N_A_0161","N_A_0127","COLETOR","ColetorA8_F028",265.390567561003,46.5796737670898,45.8127136230469,0.288992992890252,0.6,"DECLIVE_MDE","A","L_A_0107","L_A_0107_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.69001475875538,3.6512280175629,288146.187906233,9196169.78652747,288147.918957328,9196179.32066865
"L_A_0108","N_A_0129","N_A_0162","COLETOR","ColetorA8_F029",312.228757237551,49.5352630615234,49.2561073303223,0.0894074375694944,0.6,"DECLIVE_MDE","A","L_A_0108","L_A_0108_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.81013839112842,3.14197144360568,288221.068564867,9196175.10531442,288219.245168815,9196165.4661214
"L_A_0109","N_A_0163","N_A_0132","COLETOR","ColetorA8_F030",246.049298661472,54.4740219116211,51.7040939331055,1.12576137935944,0.6,"DECLIVE_MDE","A","L_A_0109","L_A_0109_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.45814212316243,3.84400287853419,288286.386718889,9196161.49555434,288287.987416047,9196170.81726132
"L_A_0110","N_A_0164","N_A_0136","COLETOR","ColetorA8_F031",234.553429829649,56.054256439209,55.702465057373,0.149983473740476,0.6,"DECLIVE_MDE","A","L_A_0110","L_A_0110_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",5.67174488274565,2.41810357958363,288361.304746341,9196157.06510775,288362.162707696,9196162.67158546
"L_A_0111","N_A_0136","N_A_0135","COLETOR","ColetorA8_F031",5.2432671474634,55.702465057373,53.6717720031738,38.729536319385,0.6,"DECLIVE_MDE","A","L_A_0111","L_A_0111_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",5.24326714742036,100,288362.162707696,9196162.67158546,288363.131983642,9196167.82448314
"L_A_0112","N_A_0134","N_A_0135","COLETOR","ColetorA8_F031",3.04597471291361,54.9840431213379,53.6717720031738,43.0821409186558,0.6,"DECLIVE_MDE","A","L_A_0112","L_A_0112_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",3.04597471301123,100,288363.770557014,9196170.80276889,288363.131983642,9196167.82448314
