BACIA,ID_LINK,NO_IN,NO_OUT,CLASSE,D_ATUAL_M,DPROP_M,DREQ25,DREQ50,DNOM25,DNOM50,COMPR_M,COTA_IN,COTA_OUT,DECL_PCT,Q25_CMS,Q50_CMS,V25_MPS,V50_MPS,STATUS_SW,CRITICO,DIM_STAT,SELEC_META,META_ID,FONTE_SEL,OVERLAP_M,META_HA,X_IN_M,Y_IN_M,X_OUT_M,Y_OUT_M
A,L_A_0088,N_A_0134,N_A_0135,COLETOR,0.6,0.3,0.225945091204408,0.227640434185756,0.3,0.3,3.045974712913609,54.98404312133789,53.67177200317383,43.082140918655796,0.298,0.304,1.68,1.71,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,3.045974712913609,1.73233097011453,288363.7705570142,9196170.802768892,288363.1319836418,9196167.824483143
A,L_A_0089,N_A_0136,N_A_0135,COLETOR,0.6,0.3,0.242722789948672,0.23280714265231,0.3,0.3,5.243267147463402,55.70246505737305,53.67177200317383,38.72953631938498,0.342,0.306,1.71,1.56,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,5.243267147463402,1.73233097011453,288362.16270769655,9196162.671585461,288363.1319836418,9196167.824483143
A,L_A_0090,N_A_0137,N_A_0138,COLETOR,0.6,0.5,0.382308313770244,0.400212307519923,0.4,0.5,153.42034742871758,60.202003479003906,58.254493713378906,1.269394704330112,0.208,0.235,1.53,1.56,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,8.72175656538362,1.73233097011453,288454.50213467283,9196314.302542698,288433.3282477369,9196162.350347856
A,L_A_0091,N_A_0138,N_A_0139,COLETOR,0.6,0.6,,,,,2.469575675747997,58.254493713378906,58.254493713378906,0.0,0.183,0.817,0.91,2.89,AUDITAR_COTA_SENTIDO,1,PRELIM_SWMM,SIM,META_04,POLIGONO,2.469575675747997,1.73233097011453,288433.3282477369,9196162.350347856,288432.98741604766,9196159.90440473
A,L_A_0092,N_A_0141,N_A_0140,COLETOR,0.6,0.4,0.376250012779602,0.393048090336892,0.4,0.4,156.9965646652757,70.90380096435547,65.1036376953125,3.694452347673465,0.34,0.382,3.61,3.72,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,7.622806855924912,1.73233097011453,288504.5094357352,9196157.621790882,288527.98741604504,9196312.85292744
A,L_A_0093,N_A_0143,N_A_0142,COLETOR,0.6,0.4,0.362658234288679,0.378402765072605,0.4,0.4,157.46900508565847,84.38807678222656,70.5722885131836,8.77365565466524,0.475,0.532,5.42,5.59,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,6.68035480037963,1.73233097011453,288577.93060500425,9196155.35458483,288602.987416046,9196310.817261325
A,L_A_0098,N_A_0150,N_A_0151,COLETOR,0.6,0.4,0.37183062510453,0.389460908806235,0.4,0.4,90.05292304968324,30.225093841552734,27.665307998657227,2.842534985214466,0.289,0.327,1.41,1.57,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,7.062443311101856,1.73233097011453,287796.2559580371,9196095.834596312,287800.0751608065,9196185.80649548
A,L_A_0101,N_A_0121,N_A_0154,COLETOR,0.6,0.5,0.463118293906445,0.477632900740988,0.5,0.5,254.24079878134899,37.49467849731445,31.364458084106445,2.411186734226749,0.478,0.519,3.37,3.44,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,7.044154138419729,1.73233097011453,287932.9874160457,9196183.517391192,287875.8195096964,9195935.817261325
A,L_A_0102,N_A_0123,N_A_0155,COLETOR,0.6,0.8,0.640322662165902,0.647550988294375,0.8,0.8,314.0993922752514,39.38004684448242,36.293277740478516,0.982736413988,0.724,0.746,2.61,2.68,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_04,POLIGONO,10.516835630136416,1.73233097011453,288002.9874160456,9196185.817261323,287939.0950267433,9195878.317261323
A,L_A_0104,N_A_0158,N_A_0159,COLETOR,0.6,0.8,0.604136193862777,0.636356128663206,0.8,0.8,234.9823844271132,42.9881477355957,42.04075241088867,0.403177168797899,0.397,0.456,1.4,1.61,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_04,POLIGONO,9.727711254930588,1.73233097011453,288030.22217112273,9195953.317261323,288077.50979526783,9196183.492415486
